name,brand,loves,link,price,ingredients
Acne Solutions™ Cleansing Foam,CLINIQUE,35511.0,https://www.sephora.com/product/acne-solutions-cleansing-foam-P188309?icid2=products,22.5,"Water, Glycerin, Butylene Glycol, Sodium Methyl Cocoyl Taurate, Sucrose, Disodium Phosphate, Arginine Cocoate, Laminaria Saccharina Extract, Caffeine, Algae Extract, Cola Acuminata (Kola) Seed Extract, Sea Whip Extract, Peg/Ppg-18/18 Dimethicone, Sodium Hyaluronate, Ppg-6-Decyltetradeceth-30, Lactobacillus Ferment, Stearamidopropyl Dimethylamine, Acetyl Glucosamine, Capryloyl Glycine, 10-Hydroxydecanoic Acid, Polyquaternium-7, Phospholipids, Stearic Acid, Sodium Hydroxide, Disodium Edta, Phenoxyethanol, Chloroxylenol"
Acne Solutions™ Clinical Clearing Gel,CLINIQUE,52767.0,https://www.sephora.com/product/acne-solutions-clinical-clearing-gel-P385432?icid2=products,27.5,", Water , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Hamamelis Virginiana (Witch Hazel) , Laminaria Saccharina Extract , Sea Whip Extract , Butylene Glycol , Benzalkonium Chloride"
Acne Solutions Clinical Clearing Kit,CLINIQUE,28305.0,https://www.sephora.com/product/acne-solutions-clinical-clearing-kit-P387942?icid2=products,29.0,"Dramatically Different™ Moisturizing Gel:Water, Dimethicone, Isododecane, Butylene Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Glycerin, Laminaria Saccharina Extract, Polygonum Cuspidatum Root Extract, Saccharomyces Lysate Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Helianthus Annuus (Sunflower) Seedcake, Caffeine, Trehalose, Sodium Hyaluronate, Tocopheryl Acetate, Chamomilla Recutita (Matricaria), Polysilicone-11, Silica, Propylene Glycol Dicaprate, Oleth-10, Lactobacillus Ferment, Laureth-23, Laureth-4, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Carbomer, Caprylyl Glycol, Hexylene Glycol, Tromethamine, Disodium Edta, Phenoxyethanol, Potassium Sorbate, Yellow 5 (Ci 19140), Red 4 (Ci 14700), Yellow 6 (Ci 15985) Lotion"
Active Moist Moisturizer,Dermalogica,6348.0,https://www.sephora.com/product/active-moist-P423142?icid2=products,66.0,"Water/Aqua/Eau, Caprylic/Capric Triglyceride, Pentylene Glycol, Butylene Glycol, Methyl Gluceth-20, Coconut Alkanes, Cetearyl Alcohol, Palmitic Acid, Stearic Acid, Saccharide Isomerate, Dimethicone, Glyceryl Stearate, Hydrolyzed Jojoba Esters, Leuconostoc/Radish Root Ferment Filtrate, Arctium Lappa Root Extract, Citrus Limon (Lemon) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hedera Helix (Ivy) Extract, Malva Sylvestris (Mallow) Flower Extract, Nasturtium Officinale Extract, Propanediol, Polysorbate 60, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Tetrasodium Glutamate Diacetate, Coco-Caprylate/Caprate, Polyquaternium-10, Ethylhexylglycerin, Triethyl Citrate, Myristic Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Lavandula Hybrida Flower Extract, Citric Acid, Sodium Citrate, Sodium Hydroxide, Aminomethyl Propanol, Citral, Linalool, Limonene"
Advanced Génifique Anti-Aging Face Serum,Lancôme,62016.0,https://www.sephora.com/product/advanced-genifique-youth-activating-serum-P379510?icid2=products,105.0,", Dimethicone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ascorbyl Glucoside, Sodium Hyaluronate, Sodium Hydroxide, Sodium Benzoate, Phenoxyethanol, Adenosine, Faex Extract/Yeast Extract/Extrait De Levure, Peg-20 Methyl Glucose Sesquistearate, Peg-60 Hydrogenated Castor Oil, Salicyloyl Phytosphingosine, Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate, Limonene, Xanthan Gum, Caprylyl Glycol, Disodium Edta, Octyldodecanol, Citronellol, Fragrance"
Age Arrest Anti-Wrinkle Cream,Kate Somerville,4745.0,https://www.sephora.com/product/age-arrest-anti-wrinkle-cream-P382356?icid2=products,90.0,"Water, Neopentyl Glycol Diheptanoate, Caprylic/Capric Triglycerides, Cetearyl Alcohol, Cocoglycerides, Propanediol, Glycerin, Cetyl Esters, Dimethicone, Tridecyl Neopentanoate, Stearyl Alcohol, Glyceryl Stearate, Ergothioneine, Panthenol, Tocopheryl Acetate, Palmitoyl Dipeptide-10, Kappaphycus Alvarezii Extract, Tocopherol, Tocotrienols, Aloe Barbadensis Leaf Juice, Avena Sativa (Oat) Bran Extract, Hydrolyzed Hyaluronic Acid, Adenosine, Sea Whip Extract, Tripleurospermum Maritimum Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Mentha Piperita (Peppermint) Leaf Extract, Passiflora Incarnata Fruit Extract, Aniba Rosaeodora (Rosewood) Wood Extract, Camellia Sinensis Leaf Extract, Cananga Odorata Flower Extract, Cupressus Sempervirens Seed Extract, Fucus Vesiculosus Extract, Prunus Armeniaca (Apricot) Fruit Extract, Jasminum Officinale (Jasmine) Flower/Leaf Extract, Vanilla Planifolia Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Santalum Album (Sandalwood) Wood Extract, Coriandrum Sativum (Coriander) Seed Extract, Cucumis Melo Cantalupensis Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Rose Extract, Rubus Idaeus (Raspberry) Fruit Extract, Tetrahexyldecyl Ascorbate, Ceteareth-20, PEG-40 Stearate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Arachidyl Alcohol, Elaeis Guineensis (Palm) Oil, Cetyl Alcohol, Sorbitan Oleate, Isohexadecane, Xanthan Gum, Ethylhexylglycerin, Polysorbate 80, Disodium EDTA, Potassium Sorbate, Citric Acid, Phenoxyethanol, Sodium Benzoate, Sorbic Acid"
AHA 30% + BHA 2% Peeling Solution,The Ordinary,356214.0,https://www.sephora.com/product/aha-30-bha-2-peeling-solution-P442563?icid2=products,7.2,"Glycolic Acid, Water, Aloe Barbadensis Leaf Water, Sodium Hydroxide, Daucus Carota Sativa Extract, Propanediol, Cocamidopropyl Dimethylamine, Salicylic Acid, Potassium Citrate, Lactic Acid, Tartaric Acid, Citric Acid, Panthenol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Glycerin, Pentylene Glycol, Xanthan gum, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol"
AHA/BHA Exfoliating Cleanser,Murad,42313.0,https://www.sephora.com/product/aha-bha-exfoliating-cleanser-P4010?icid2=products,40.0,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Jojoba Esters, Acrylates Copolymer, Glycol Stearate, Butylene Glycol, Sodium PCA, Dipotassium Glycyrrhizate, Sodium Ascorbyl Phosphate, Glycolic Acid, Lactic Acid, Salicylic Acid, Polyquaternium-4, Sodium Hydroxide, Sodium Chloride, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben"
All About Eyes,CLINIQUE,28392.0,https://www.sephora.com/product/all-about-eyes-P122774?icid2=products,34.0,"Cyclopentasiloxane , Water , Isostearyl Palmitate , Polyethylene , Butylene Glycol , Polysilicone-11 , Ethylene/Acrylic Acid Copolymer , Morus Bombycis (Mulberry) Root Extract , Caffeine , Phytosphingosine , Triticum Vulgare (Wheat) Bran Extract , Scutellaria Baicalensis Root Extract , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Olea Europaea (Olive) Fruit Extract , Camellia Sinensis (Green Tea) Leaf Extract , Cholesterol , Linoleic Acid , Tocopheryl Acetate , Magnesium Ascorbyl Phosphate , Pyridoxine Dipalmitate , Sucrose , Glycerin , Dimethicone , Glyceryl Laurate , Peg/Ppg-18/18 Dimethicone , Petrolatum , Cetyl Peg/Ppg-10/1 Dimethicone , Propylene Carbonate , Sodium Chloride , Quaternium-90 Bentonite , Disodium Edta , Phenoxyethanol , Iron Oxides (Ci 77491, Ci 77492, Ci 77499)"
All About Eyes™ Rich Eye Cream,CLINIQUE,58490.0,https://www.sephora.com/product/all-about-eyes-rich-P174502?icid2=products,34.0,"Paul'S Wort) Extract , Peg-100 Stearate , Coleus Barbatus Extract , Betula Alba (Birch) Extract , Polysilicone-11 , Methyl Glucose Sesquistearate , Camellia Sinensis (Green Tea) Leaf Extract , Salvia Officinalis (Sage) Leaf , Glyceryl Polymethacrylate , yeast Extract\Faex\Extrait De Levure , Gentiana Lutea (Gentian) Root Extract , Stearic Acid , Milk Protein\Lactis Proteinum\Protéine Du Lait , Whey Protein\Lactis Protein\Protéine Du Petit-Lait , Palmitoyl Oligopeptide , Squalane , Magnesium Ascorbyl Phosphate , Cholesterol , Caffeine , Peg-8 , Phytosphingosine , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Aminomethyl Propanol , Dimethicone , Isomerized Linoleic Acid , Linoleic Acid , Sodium Hyaluronate , 1,2 Hexanediol , Decarboxy Carnosine Hcl , Potassium Sulfate , Caprylyl Glycol , Disodium Edta , Sodium Dehydroacetate , Phenoxyethanol , yellow 5 (Ci 19140) , Mica , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Titanium Dioxide (Ci 77891)"
All Day Hydrator - Hydrate & Glow,SEPHORA COLLECTION,29070.0,https://www.sephora.com/product/all-day-hydrator-hydrate-glow-P438617?icid2=products,17.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
Alpha Beta® Extra Strength Daily Peel,Dr. Dennis Gross Skincare,150362.0,https://www.sephora.com/product/alpha-beta-peel-extra-strength-daily-peel-P269122?icid2=products,88.0,"Step 2: Water, Sodium Bicarbonate, Resveratrol, Retinol, Ascorbic Acid, Ubiquinone, Phospholipids, Adenosine, Tocopheryl Acetate, Soy Isoflavones, Achillea Millefolium Extract, Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Copper PCA, Sodium PCA, Zinc PCA, Glycerin, Polysorbate 20, Octoxynol-9, Tetrasodium EDTA, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate"
Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin,Dr. Dennis Gross Skincare,15725.0,https://www.sephora.com/product/alpha-beta-ultra-gentle-daily-peel-sensitive-skin-P398761?icid2=products,88.0,"Step 2: Water, Caprylic/Capric Triglyceride, Polysorbate 20, Sodium Bicarbonate, Sodium Hyaluronate, Colloidal Oatmeal, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Phospholipids, Adenosine, Resveratrol, Ubiquinone, Soy Isoflavones, Achillea Millefolium Extract, Leuconostoc/Radish Root Ferment Filtrate, Glycerin, Sodium PCA, Copper PCA, Zinc PCA, Butylene Glycol, Octoxynol-9, Tetrasodium EDTA, Citric Acid, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate"
Alpha Beta® Universal Daily Peel,Dr. Dennis Gross Skincare,76412.0,https://www.sephora.com/product/alpha-beta-universal-daily-peel-P377533?icid2=products,88.0,"Step 2: Water, Sodium Bicarbonate, Ascorbic Acid, Retinol, Tocopheryl Acetate, Resveratrol, Ubiquinone, Adenosine, Achillea Millefolium Extract, Camellia Sinensis Leaf Extract, Soy Isoflavones, Phospholipids, Leuconostoc/Radish Root Ferment Filtrate, Copper PCA, Sodium PCA, Zinc PCA, Glycerin, Polysorbate 20, Octoxynol-9, Tetrasodium EDTA, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate"
Anti-Aging Cleansing Gel,Peter Thomas Roth,26090.0,https://www.sephora.com/product/anti-aging-cleansing-gel-P39274?icid2=products,39.0,"Ingredients sourced from all over the world are formulated at the highest percentages possible to provide maximum results for brighter, clearer, younger-looking skin"
Avocado Melt Retinol Eye Sleeping Mask,Glow Recipe,90695.0,https://www.sephora.com/product/avocado-melt-retinol-eye-sleeping-mask-P447791?icid2=products,42.0,"Free of Parabens, Mineral Oil, Sulfates, Silicones, Phthalates, Alcohol, Synthetic Dyes, Synthetic Fragrance"
Avocado Melt Retinol Sleeping Face Mask,Glow Recipe,33397.0,https://www.sephora.com/product/avocado-melt-retinol-sleeping-mask-P449160?icid2=products,49.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
B-Hydra™ Intensive Hydration Serum,Drunk Elephant,150469.0,https://www.sephora.com/product/b-hydra-intensive-hydration-gel-P406712?icid2=products,48.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
Balance It All™ Essentials Set,OLEHENRIKSEN,61977.0,https://www.sephora.com/product/balance-it-all-essentials-set-P416954?icid2=products,40.0,"Counter Balance™ Oil Control Hydrator:Water, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Dimethicone, Acrylates/C10-30 Alykyl Acrylate Crosspolymer, Methyl Methacrylate Crosspolymer, Sodium Hydroxide, Polysorbate 20, Linoleic Acid, Phenoxyethanol, Glycolic Acid, Lactic Acid, Melia Azadirachta Seed Oil, Avena Sativa (Oat) Kernel Flour, Methyl Gluceth-20, Caprylyl Glycol, Linolenic Acid, Salicylic Acid, Mentha Piperita (Peppermint) Oil, Enantia Chlorantha Bark Extract, Macrocystis Pyrifera (Kelp) Extract, Eucalyptus Globulus Leaf Extract, Chondrus Crispus (Carrageenan) Extract, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Hexylene Glycol, Ethylhexylglycerin, Dimethicone Crosspolymer, Bisabolol, Allantoin, Phytic Acid, Fragrance, Saccarhide Isomerate, Rosa Canina Fruit Extract, Tocopherol, Sodium Hyaluronate, Oleanolic Acid, Limonene"
Balancing Force™ Oil Control Toner,OLEHENRIKSEN,89981.0,https://www.sephora.com/product/balancing-force-oil-control-toner-P416816?icid2=products,29.0,"Water, Polysorbate 20, Hamamelis Virginiana (Witch Hazel) Water, Gylcerin, Gluconolactone, Glycolic Acid, Lactic Acid, Oleth-20, Salicylic Acid, Sodium Hydroxide, Sodium Benzoate, Menthyl Lactate, Eucalpytus Globulus Leaf Oil, Mentha Piperita (Peppermint) Oil, Melia Azadirachta Seed Oil, Linoleic Acid, Macrocystis Pyrifera (Kelp) Extract, Eucalyptus Globulus Leaf Extract, Chondrus Crispus (Carrageenan) Extract, Camellia Sinensis Leaf Extract, Linolenic Acid, Phenoxyethanol, Calcium Gluconate, Benzoic Acid, Tocopherol, Limonene"
Beauty Elixir,Caudalie,103418.0,https://www.sephora.com/product/beauty-elixir-P6025?icid2=products,18.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
Benefiance Wrinkle Smoothing Cream Enriched,Shiseido,4152.0,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?icid2=products,70.0,"), Caprylic/Capric Triglyceride, Phytosteryl Macadamiate, Glyceryl Stearate, Dimethicone, Diisostearyl Malate, Beheneth-20, Phenoxyethanol, Alcohol, Tocopheryl Acetate, Erythritol, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Hdi/Trimethylol Hexyllactone Crosspolymer, Carbomer, Fragrance, Butylene Glycol, Sodium Citrate, Trisodium Edta, Potassium Hydroxide, Citric Acid, Caffeine, Xanthan Gum, Sodium Metabisulfite, Sodium Metaphosphate, Iron Oxides (Ci 77492), Ppg-3 Dipivalate, Linalool, Tocopherol, Sapindus Mukorossi Peel Extract, Limonene, Citronellol, Silica, Geraniol, Angelica Keiskei Leaf/Stem Extract, Alpha-Isomethyl Ionone, Camellia Sinensis Leaf Extract, Citrus Junos Seed Extract, Ziziphus Jujuba Fruit Extract, Iron Oxides (Ci 77491), Eucheuma Serra/Grateloupia Sparsa/Saccharina Angustata/Ulva Linza/Undaria Pinnatifida Extract, Curcuma Longa (Turmeric) Rhizome Extract, Saccharina Angustata/Undaria Pinnatifida Extract, Chlorella Vulgaris Extract"
Benefiance Wrinkle Smoothing Day Cream SPF 23,Shiseido,10209.0,https://www.sephora.com/product/benefiance-wrinkle-smoothing-day-cream-broad-spectrum-spf-23-P448201?icid2=products,70.0,"Water, Glycerin, Dipropylene Glycol, Butylene Glycol, Behenyl Alcohol, Sd Alcohol 40-B, Silica, Dimethicone, Isododecane, Isohexadecane, Sorbitol, Beheneth-20, Myristyl Myristate, Phytosteryl Macadamiate, Erythritol, Xanthan Gum, Tocopheryl Acetate, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Caffeine, Sapindus Mukorossi Peel Extract, Angelica Keiskei Leaf/Stem Extract, Camellia Sinensis Leaf Extract, Citrus Junos Seed Extract, Ziziphus Jujuba Fruit Extract, Eucheuma Serra/Grateloupia Sparsa/Saccharina Angustata/Ulva Linza/Undaria Pinnatifida Extract, Curcuma Longa (Turmeric) Rhizome Extract, Polyquaternium-51, Saccharina Angustata/Undaria Pinnatifida Extract, Chlorella Vulgaris Extract, Ppg-17, Stearyl Alcohol, Beheneth-30, Alcohol, Carbomer, Cellulose Gum, Trisodium Edta, Hdi/Trimethylol Hexyllactone Crosspolymer, Sodium Citrate, Bht, Sodium Metaphosphate, Potassium Hydroxide, Citric Acid, Tocopherol, Ppg-3 Dipivalate, Sodium Metabisulfite, Phenoxyethanol, Fragrance, Iron Oxides"
